月份,SHFE铜主连成交量,SHFE铜主连持仓量,SHFE铜主连收盘价,SHFE铜主连成交量_变化率,SHFE铜主连持仓量_变化率,SHFE铝主连成交量,SHFE铝主连持仓量,SHFE铝主连收盘价,SHFE铝主连成交量_变化率,SHFE铝主连持仓量_变化率
2018-04-01,4045916,196638,51560.0,-28.54929812267595,-26.893305672667246,5998614,244626,14560.0,5.377311590142142,-22.503326363809162
2018-05-01,4046056,175082,51380.0,0.003460279452172088,-10.962275857158843,3611826,243288,14590.0,-39.78899125698037,-0.5469573961884633
2018-06-01,4418232,171598,51660.0,9.19848860223389,-1.989924720987879,3405132,229646,14165.0,-5.722700927453317,-5.6073460261089725
2018-07-01,6680162,172196,49830.0,51.19536502383759,0.3484889101271538,3846832,266008,14540.0,12.97159698948529,15.833935709744562
2018-08-01,5259226,159152,48580.0,-21.270981152852286,-7.575088852238143,4999776,244496,14890.0,29.971259467530675,-8.086974827824722
2018-09-01,3815558,170146,50170.0,-27.450198945624315,6.907861666834214,3938732,214542,14310.0,-21.22183073801707,-12.251325175053985
2018-10-01,3082418,163934,49060.0,-19.21448972863209,-3.6509820977278284,3004634,222356,13960.0,-23.715703429428558,3.6421772892953452
2018-11-01,4548990,171166,49650.0,47.57862171840419,4.411531469981811,3390062,238006,13555.0,12.827785347566456,7.038262965694653
2018-12-01,3762250,150454,48340.0,-17.294828082717263,-12.100533984553008,2849870,209052,13590.0,-15.934575827816722,-12.165239531776507
2019-01-01,4189708,172048,48090.0,11.361764901322346,14.352559586318737,3210034,227312,13510.0,12.637909799394365,8.734668886210128
2019-02-01,2455454,232392,50160.0,-41.393194943418486,35.07393285594718,1775686,312740,13680.0,-44.68326503706814,37.5818258604913
2019-03-01,3539140,206552,48800.0,44.13383431332862,-11.119143516127927,3518586,258548,13720.0,98.15361499724614,-17.328131994628126
2019-04-01,2372034,178342,48940.0,-32.97710743287917,-13.657577752817696,2711698,288402,14175.0,-22.932166500975104,11.54679208502869
2019-05-01,2557833,236888,46180.0,7.832897842105124,32.82793733388658,2297157,239812,14155.0,-15.287137431970665,-16.84801076275476
2019-06-01,2660768,222140,47010.0,4.024304948759361,-6.225726925804597,2169140,244078,13830.0,-5.572845042807262,1.7788934665488032
2019-07-01,3478824,229580,46720.0,30.74510817929259,3.3492392185108466,2635172,238002,13895.0,21.484643683671866,-2.489368152803617
2019-08-01,2937630,208136,46690.0,-15.556808852646753,-9.340534889798768,3465248,298120,14260.0,31.499879324765146,25.25945160124705
2019-09-01,2464606,189614,47250.0,-16.102232071431732,-8.898989122496825,2677078,189664,14015.0,-22.744981023003263,-36.379981215617875
2019-10-01,2177766,214220,47330.0,-11.6383714070322,12.976889892096576,1694980,228138,13840.0,-36.68544584804776,20.285346718407293
2019-11-01,2309536,210438,47320.0,6.050695988457888,-1.7654747455886466,2161304,201954,13885.0,27.512065039115498,-11.477263761407574
2019-12-01,3585948,239454,49150.0,55.26703199257339,13.788384227183293,2873172,238360,14110.0,32.93696768247318,18.026877407726506
