品种,模型版本,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,影响解释,强弱排名
ADC12,候选全变量模型,ADC12_价格月环比,汽车产量当期值_环比,0.6706299078547029,0.6706299078547029,0.00425013744297277,***,正向,统计显著，变量上升时价格月环比倾向于推升。,2
ADC12,候选全变量模型,ADC12_价格月环比,汽车销量Top50厂商合计_环比,-0.5543323395959052,0.5543323395959052,0.015427844697779636,**,负向,统计显著，变量上升时价格月环比倾向于压制。,3
ADC12,候选全变量模型,ADC12_价格月环比,PPI当月同比增长,0.11536404933302283,0.11536404933302283,0.17348873498638695,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
ADC12,候选全变量模型,ADC12_价格月环比,制造业PMI_变化,-0.1095140759784194,0.1095140759784194,0.336936056640897,不显著,负向,方向仅作参考，当前样本下显著性不足。,5
ADC12,候选全变量模型,ADC12_价格月环比,企业商品价格煤油电环比增长,0.07212911337868036,0.07212911337868036,0.33494353243611463,不显著,正向,方向仅作参考，当前样本下显著性不足。,6
ADC12,候选全变量模型,ADC12_价格月环比,工业增加值同比增长,-0.05122631039332315,0.05122631039332315,0.4750734281793926,不显著,负向,方向仅作参考，当前样本下显著性不足。,7
ADC12,候选全变量模型,ADC12_价格月环比,SHFE铝仓单库存_环比,-0.015331769286960062,0.015331769286960062,0.8118740435691852,不显著,负向,方向仅作参考，当前样本下显著性不足。,8
ADC12,候选全变量模型,ADC12_价格月环比,新能源汽车产量当期值_环比,0.002589151792625255,0.002589151792625255,0.9700175142589543,不显著,正向,方向仅作参考，当前样本下显著性不足。,9
ADC12,核心筛选模型,ADC12_价格月环比,A00铝_价格月环比,0.9032312002192895,0.9032312002192895,5.0867153884127906e-11,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
ADC12,核心筛选模型,ADC12_价格月环比,汽车产量当期值_环比,0.07613319749730006,0.07613319749730006,0.3401951434268511,不显著,正向,方向仅作参考，当前样本下显著性不足。,2
ADC12,核心筛选模型,ADC12_价格月环比,工业增加值同比增长,-0.05726244094523134,0.05726244094523134,0.4809532229681841,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
ADC12,核心筛选模型,ADC12_价格月环比,新能源汽车产量当期值_环比,0.05144207761659789,0.05144207761659789,0.34422546436320456,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
ADC12,核心筛选模型,ADC12_价格月环比,企业商品价格煤油电环比增长,0.04183034260458589,0.04183034260458589,0.5703212080183018,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
ADC12,基本面筛选模型,ADC12_价格月环比,A00铝_价格月环比,0.9032312002192895,0.9032312002192895,5.0867153884127906e-11,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
ADC12,基本面筛选模型,ADC12_价格月环比,汽车产量当期值_环比,0.07613319749730006,0.07613319749730006,0.3401951434268511,不显著,正向,方向仅作参考，当前样本下显著性不足。,2
ADC12,基本面筛选模型,ADC12_价格月环比,工业增加值同比增长,-0.05726244094523134,0.05726244094523134,0.4809532229681841,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
ADC12,基本面筛选模型,ADC12_价格月环比,新能源汽车产量当期值_环比,0.05144207761659789,0.05144207761659789,0.34422546436320456,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
ADC12,基本面筛选模型,ADC12_价格月环比,企业商品价格煤油电环比增长,0.04183034260458589,0.04183034260458589,0.5703212080183018,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
ZLD104,候选全变量模型,ZLD104_价格月环比,A00铝_价格月环比,0.7137200425082335,0.7137200425082335,1.7004092881336387e-24,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
ZLD104,候选全变量模型,ZLD104_价格月环比,PPI当月同比增长,-0.1814161986667761,0.1814161986667761,0.00353893385621421,***,负向,统计显著，变量上升时价格月环比倾向于压制。,2
ZLD104,候选全变量模型,ZLD104_价格月环比,发电量当期值_环比,-0.13450337310243293,0.13450337310243293,0.007852825385278577,***,负向,统计显著，变量上升时价格月环比倾向于压制。,3
ZLD104,候选全变量模型,ZLD104_价格月环比,非制造业PMI_变化,-0.13006745010093818,0.13006745010093818,0.05078729194990373,*,负向,弱显著，方向可参考：变量上升时价格月环比倾向于压制。,4
ZLD104,候选全变量模型,ZLD104_价格月环比,SHFE铝仓单库存_环比,0.07598837610414977,0.07598837610414977,0.05853450786654194,*,正向,弱显著，方向可参考：变量上升时价格月环比倾向于推升。,5
ZLD104,候选全变量模型,ZLD104_价格月环比,企业商品价格煤油电环比增长,0.05285601896124295,0.05285601896124295,0.1323539400175525,不显著,正向,方向仅作参考，当前样本下显著性不足。,6
ZLD104,候选全变量模型,ZLD104_价格月环比,工业增加值同比增长,0.020334116387186185,0.020334116387186185,0.6997449887264293,不显著,正向,方向仅作参考，当前样本下显著性不足。,7
ZLD104,候选全变量模型,ZLD104_价格月环比,房地产开发景气指数环比,0.017349621708870028,0.017349621708870028,0.41107355832097536,不显著,正向,方向仅作参考，当前样本下显著性不足。,8
ZLD104,候选全变量模型,ZLD104_价格月环比,发电机组产量当期值_环比,0.007275821244164225,0.007275821244164225,0.8384445724908696,不显著,正向,方向仅作参考，当前样本下显著性不足。,9
ZLD104,候选全变量模型,ZLD104_价格月环比,制造业PMI_变化,0.001760674456556477,0.001760674456556477,0.9651985413712938,不显著,正向,方向仅作参考，当前样本下显著性不足。,10
ZLD104,核心筛选模型,ZLD104_价格月环比,A00铝_价格月环比,0.7664445626834571,0.7664445626834571,1.5981799863226134e-31,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
ZLD104,核心筛选模型,ZLD104_价格月环比,PPI当月同比增长,-0.23359813226433915,0.23359813226433915,0.00569094999592252,***,负向,统计显著，变量上升时价格月环比倾向于压制。,2
ZLD104,核心筛选模型,ZLD104_价格月环比,非制造业PMI_变化,-0.07194011864129693,0.07194011864129693,0.21476183351981037,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
ZLD104,核心筛选模型,ZLD104_价格月环比,发电量当期值_环比,-0.04978865479484357,0.04978865479484357,0.4841705174971841,不显著,负向,方向仅作参考，当前样本下显著性不足。,4
ZLD104,核心筛选模型,ZLD104_价格月环比,工业增加值同比增长,0.036659096971218746,0.036659096971218746,0.5160654532375261,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
ZLD104,基本面筛选模型,ZLD104_价格月环比,A00铝_价格月环比,0.7664445626834571,0.7664445626834571,1.5981799863226134e-31,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
ZLD104,基本面筛选模型,ZLD104_价格月环比,PPI当月同比增长,-0.23359813226433915,0.23359813226433915,0.00569094999592252,***,负向,统计显著，变量上升时价格月环比倾向于压制。,2
ZLD104,基本面筛选模型,ZLD104_价格月环比,非制造业PMI_变化,-0.07194011864129693,0.07194011864129693,0.21476183351981037,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
ZLD104,基本面筛选模型,ZLD104_价格月环比,发电量当期值_环比,-0.04978865479484357,0.04978865479484357,0.4841705174971841,不显著,负向,方向仅作参考，当前样本下显著性不足。,4
ZLD104,基本面筛选模型,ZLD104_价格月环比,工业增加值同比增长,0.036659096971218746,0.036659096971218746,0.5160654532375261,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
