series,horizon,model,weight,eligible,model_MAE,naive_MAE,beats_naive
铝合金ADC12,6,Ridge_direct_h,0.0,False,345.04664726178345,264.7492625368725,False
铝合金ADC12,6,Rolling_log_drift_120d,0.0,False,281.639778238495,264.7492625368725,False
铝合金ADC12,6,Rolling_log_drift_20d,0.0,False,294.16572091636135,264.7492625368725,False
铝合金ADC12,6,Rolling_log_drift_5d,0.0,False,396.25308678325126,264.7492625368725,False
铝合金ADC12,6,Rolling_log_drift_60d,0.0,False,279.20641688807336,264.7492625368725,False
铝合金ADC12,7,ARIMA_log,0.0,False,427.1364184919917,283.92330383480754,False
铝合金ADC12,7,Median_ensemble,0.0,False,295.97660248531787,283.92330383480754,False
铝合金ADC12,7,Naive_last,1.0,True,283.92330383480754,283.92330383480754,False
铝合金ADC12,7,Ridge_direct_h,0.0,False,373.81702733149683,283.92330383480754,False
铝合金ADC12,7,Rolling_log_drift_120d,0.0,False,312.1254629642994,283.92330383480754,False
铝合金ADC12,7,Rolling_log_drift_20d,0.0,False,322.02483116821844,283.92330383480754,False
铝合金ADC12,7,Rolling_log_drift_5d,0.0,False,458.95887151062004,283.92330383480754,False
铝合金ADC12,7,Rolling_log_drift_60d,0.0,False,306.1610210233591,283.92330383480754,False
铝合金ADC12,8,ARIMA_log,0.0,False,441.9970437740655,301.62241887905543,False
铝合金ADC12,8,Median_ensemble,0.0,False,321.04320392042223,301.62241887905543,False
铝合金ADC12,8,Naive_last,1.0,True,301.62241887905543,301.62241887905543,False
铝合金ADC12,8,Ridge_direct_h,0.0,False,397.87432426087565,301.62241887905543,False
铝合金ADC12,8,Rolling_log_drift_120d,0.0,False,332.6658234037101,301.62241887905543,False
铝合金ADC12,8,Rolling_log_drift_20d,0.0,False,355.7861847748153,301.62241887905543,False
铝合金ADC12,8,Rolling_log_drift_5d,0.0,False,511.80459982877454,301.62241887905543,False
铝合金ADC12,8,Rolling_log_drift_60d,0.0,False,337.57441318761914,301.62241887905543,False
铝合金ADC12,9,ARIMA_log,0.0,False,459.60333541377963,308.997050147492,False
铝合金ADC12,9,Median_ensemble,0.0,False,340.01075781701803,308.997050147492,False
铝合金ADC12,9,Naive_last,1.0,True,308.997050147492,308.997050147492,False
铝合金ADC12,9,Ridge_direct_h,0.0,False,407.71856238639873,308.997050147492,False
铝合金ADC12,9,Rolling_log_drift_120d,0.0,False,354.52005721290624,308.997050147492,False
铝合金ADC12,9,Rolling_log_drift_20d,0.0,False,383.4350922888951,308.997050147492,False
铝合金ADC12,9,Rolling_log_drift_5d,0.0,False,545.9595218439778,308.997050147492,False
铝合金ADC12,9,Rolling_log_drift_60d,0.0,False,361.9351437643585,308.997050147492,False
铝合金ADC12,10,ARIMA_log,0.0,False,476.0925912367877,315.6342182890852,False
铝合金ADC12,10,Median_ensemble,0.0,False,359.497314875182,315.6342182890852,False
铝合金ADC12,10,Naive_last,1.0,True,315.6342182890852,315.6342182890852,False
铝合金ADC12,10,Ridge_direct_h,0.0,False,419.5211148415535,315.6342182890852,False
铝合金ADC12,10,Rolling_log_drift_120d,0.0,False,370.5945475289879,315.6342182890852,False
铝合金ADC12,10,Rolling_log_drift_20d,0.0,False,413.5665931572791,315.6342182890852,False
铝合金ADC12,10,Rolling_log_drift_5d,0.0,False,589.2211170496034,315.6342182890852,False
铝合金ADC12,10,Rolling_log_drift_60d,0.0,False,387.1971297235049,315.6342182890852,False
铝合金ADC12,11,ARIMA_log,0.0,False,488.61281595602475,313.42182890855446,False
铝合金ADC12,11,Median_ensemble,0.0,False,374.8214779662169,313.42182890855446,False
铝合金ADC12,11,Naive_last,1.0,True,313.42182890855446,313.42182890855446,False
铝合金ADC12,11,Ridge_direct_h,0.0,False,427.995251122163,313.42182890855446,False
铝合金ADC12,11,Rolling_log_drift_120d,0.0,False,389.3181225071637,313.42182890855446,False
铝合金ADC12,11,Rolling_log_drift_20d,0.0,False,439.2014019235823,313.42182890855446,False
铝合金ADC12,11,Rolling_log_drift_5d,0.0,False,621.0577487183956,313.42182890855446,False
铝合金ADC12,11,Rolling_log_drift_60d,0.0,False,410.6211425120699,313.42182890855446,False
铝合金ADC12,12,ARIMA_log,0.0,False,497.80886934668086,311.20943952802344,False
铝合金ADC12,12,Median_ensemble,0.0,False,388.54327737603984,311.20943952802344,False
铝合金ADC12,12,Naive_last,1.0,True,311.20943952802344,311.20943952802344,False
铝合金ADC12,12,Ridge_direct_h,0.0,False,434.996808709485,311.20943952802344,False
铝合金ADC12,12,Rolling_log_drift_120d,0.0,False,407.2123904123119,311.20943952802344,False
铝合金ADC12,12,Rolling_log_drift_20d,0.0,False,467.97922715489597,311.20943952802344,False
铝合金ADC12,12,Rolling_log_drift_5d,0.0,False,655.6643556072147,311.20943952802344,False
铝合金ADC12,12,Rolling_log_drift_60d,0.0,False,430.31596254889286,311.20943952802344,False
铝合金ADC12,13,ARIMA_log,0.0,False,511.1274199034295,321.53392330383474,False
铝合金ADC12,13,Median_ensemble,0.0,False,405.3369323120396,321.53392330383474,False
铝合金ADC12,13,Naive_last,1.0,True,321.53392330383474,321.53392330383474,False
铝合金ADC12,13,Ridge_direct_h,0.0,False,452.8308022850462,321.53392330383474,False
铝合金ADC12,13,Rolling_log_drift_120d,0.0,False,427.02152238516464,321.53392330383474,False
铝合金ADC12,13,Rolling_log_drift_20d,0.0,False,502.3658732514433,321.53392330383474,False
铝合金ADC12,13,Rolling_log_drift_5d,0.0,False,685.6269826538958,321.53392330383474,False
铝合金ADC12,13,Rolling_log_drift_60d,0.0,False,456.9142556736194,321.53392330383474,False
铝合金ADC12,14,ARIMA_log,0.0,False,520.755834892513,330.38348082595854,False
铝合金ADC12,14,Median_ensemble,0.0,False,415.79509293321536,330.38348082595854,False
铝合金ADC12,14,Naive_last,1.0,True,330.38348082595854,330.38348082595854,False
铝合金ADC12,14,Ridge_direct_h,0.0,False,473.01719495562037,330.38348082595854,False
铝合金ADC12,14,Rolling_log_drift_120d,0.0,False,440.54809135718,330.38348082595854,False
铝合金ADC12,14,Rolling_log_drift_20d,0.0,False,525.2763918596066,330.38348082595854,False
铝合金ADC12,14,Rolling_log_drift_5d,0.0,False,724.1097825265684,330.38348082595854,False
铝合金ADC12,14,Rolling_log_drift_60d,0.0,False,479.3631163209411,330.38348082595854,False
铝合金ADC12,15,ARIMA_log,0.0,False,535.2355423875833,338.4955752212389,False
铝合金ADC12,15,Median_ensemble,0.0,False,426.2386799937929,338.4955752212389,False
铝合金ADC12,15,Naive_last,1.0,True,338.4955752212389,338.4955752212389,False
铝合金ADC12,15,Ridge_direct_h,0.0,False,495.2919912779545,338.4955752212389,False
铝合金ADC12,15,Rolling_log_drift_120d,0.0,False,452.8783604454432,338.4955752212389,False
铝合金ADC12,15,Rolling_log_drift_20d,0.0,False,549.7224671576128,338.4955752212389,False
铝合金ADC12,15,Rolling_log_drift_5d,0.0,False,771.3524351880588,338.4955752212389,False
铝合金ADC12,15,Rolling_log_drift_60d,0.0,False,501.70628590390703,338.4955752212389,False
铝合金ADC12,16,ARIMA_log,0.0,False,544.5549291343476,351.7699115044245,False
铝合金ADC12,16,Median_ensemble,0.0,False,447.82495071925484,351.7699115044245,False
铝合金ADC12,16,Naive_last,1.0,True,351.7699115044245,351.7699115044245,False
铝合金ADC12,16,Ridge_direct_h,0.0,False,517.6624422876438,351.7699115044245,False
铝合金ADC12,16,Rolling_log_drift_120d,0.0,False,469.3337513236159,351.7699115044245,False
铝合金ADC12,16,Rolling_log_drift_20d,0.0,False,583.7198569067631,351.7699115044245,False
铝合金ADC12,16,Rolling_log_drift_5d,0.0,False,819.9239222294709,351.7699115044245,False
铝合金ADC12,16,Rolling_log_drift_60d,0.0,False,521.8714758439286,351.7699115044245,False
铝合金ADC12,17,ARIMA_log,0.0,False,549.451459026506,369.4690265486722,False
铝合金ADC12,17,Median_ensemble,0.0,False,458.6446780785002,369.4690265486722,False
铝合金ADC12,17,Naive_last,1.0,True,369.4690265486722,369.4690265486722,False
铝合金ADC12,17,Ridge_direct_h,0.0,False,538.4342640312991,369.4690265486722,False
铝合金ADC12,17,Rolling_log_drift_120d,0.0,False,480.4133191703106,369.4690265486722,False
铝合金ADC12,17,Rolling_log_drift_20d,0.0,False,605.4589863651702,369.4690265486722,False
铝合金ADC12,17,Rolling_log_drift_5d,0.0,False,866.1517319169652,369.4690265486722,False
铝合金ADC12,17,Rolling_log_drift_60d,0.0,False,542.0589539499526,369.4690265486722,False
铝合金ADC12,18,ARIMA_log,0.0,False,552.8749853385577,379.7935103244833,False
铝合金ADC12,18,Median_ensemble,0.0,False,472.6491245887615,379.7935103244833,False
铝合金ADC12,18,Naive_last,1.0,True,379.7935103244833,379.7935103244833,False
铝合金ADC12,18,Ridge_direct_h,0.0,False,563.2351194790822,379.7935103244833,False
铝合金ADC12,18,Rolling_log_drift_120d,0.0,False,496.2403329249966,379.7935103244833,False
铝合金ADC12,18,Rolling_log_drift_20d,0.0,False,636.2861769554855,379.7935103244833,False
铝合金ADC12,18,Rolling_log_drift_5d,0.0,False,909.0057902991653,379.7935103244833,False
铝合金ADC12,18,Rolling_log_drift_60d,0.0,False,565.2661755164389,379.7935103244833,False
铝合金ADC12,19,ARIMA_log,0.0,False,555.5629719647392,384.9557522123889,False
铝合金ADC12,19,Median_ensemble,0.0,False,486.7002189880846,384.9557522123889,False
铝合金ADC12,19,Naive_last,1.0,True,384.9557522123889,384.9557522123889,False
