series,horizon,model,MAE,RMSE,MAPE_%,Bias,n_obs,naive_MAE,naive_RMSE,naive_MAPE_%,ensemble_MAE,ensemble_RMSE,ensemble_MAPE_%,beats_naive,beats_ensemble
1#铜,22,Selected_adaptive_anchor,2177.471368354387,2725.863217078537,2.410298982996702,280.9575716872881,120,3277.7286135693216,3904.9488572285645,3.591172587347364,3078.7753117394373,3758.1770098711186,3.396185886524261,True,True
1#铜,23,Final_ensemble,3124.4538360230104,3809.955004696086,3.448735369542987,-133.28622329377976,120,3311.356932153393,3931.9602530202524,3.6234236066245207,3124.4538360230104,3809.955004696086,3.448735369542987,True,False
1#铜,23,Hybrid_variable_anchor,2202.121735552545,2783.5038699038755,2.4401265506086536,564.2620713909067,120,3311.356932153393,3931.9602530202524,3.6234236066245207,3124.4538360230104,3809.955004696086,3.448735369542987,True,True
1#铜,23,Naive_last,3311.356932153393,3931.9602530202524,3.6234236066245207,-1200.7374631268442,120,3311.356932153393,3931.9602530202524,3.6234236066245207,3124.4538360230104,3809.955004696086,3.448735369542987,False,False
1#铜,23,Selected_adaptive_anchor,2202.121735552545,2783.5038699038755,2.4401265506086536,564.2620713909067,120,3311.356932153393,3931.9602530202524,3.6234236066245207,3124.4538360230104,3809.955004696086,3.448735369542987,True,True
1#铜,24,Final_ensemble,3097.503056840241,3816.224691049278,3.4178832452769057,-140.238047945367,120,3314.380530973452,3983.4949864925356,3.622972267928235,3097.503056840241,3816.224691049278,3.4178832452769057,True,False
1#铜,24,Hybrid_variable_anchor,2178.061883902902,2756.995894178824,2.4135501959553727,609.9877262267597,120,3314.380530973452,3983.4949864925356,3.622972267928235,3097.503056840241,3816.224691049278,3.4178832452769057,True,True
1#铜,24,Naive_last,3314.380530973452,3983.4949864925356,3.622972267928235,-1278.687315634219,120,3314.380530973452,3983.4949864925356,3.622972267928235,3097.503056840241,3816.224691049278,3.4178832452769057,False,False
1#铜,24,Selected_adaptive_anchor,2178.061883902902,2756.995894178824,2.4135501959553727,609.9877262267597,120,3314.380530973452,3983.4949864925356,3.622972267928235,3097.503056840241,3816.224691049278,3.4178832452769057,True,True
1#铜,25,Final_ensemble,3111.6388534202183,3856.1387055926893,3.43243037809329,-129.4980922689819,120,3395.94395280236,4056.468709661262,3.7072551733470136,3111.6388534202183,3856.1387055926893,3.43243037809329,True,False
1#铜,25,Hybrid_variable_anchor,2163.369073986229,2754.0737424978306,2.397544650648743,679.0884079140317,120,3395.94395280236,4056.468709661262,3.7072551733470136,3111.6388534202183,3856.1387055926893,3.43243037809329,True,True
1#铜,25,Naive_last,3395.94395280236,4056.468709661262,3.7072551733470136,-1359.2182890855463,120,3395.94395280236,4056.468709661262,3.7072551733470136,3111.6388534202183,3856.1387055926893,3.43243037809329,False,False
1#铜,25,Selected_adaptive_anchor,2163.369073986229,2754.0737424978306,2.397544650648743,679.0884079140317,120,3395.94395280236,4056.468709661262,3.7072551733470136,3111.6388534202183,3856.1387055926893,3.43243037809329,True,True
1#铜,26,Final_ensemble,3142.813019314937,3867.3528747670716,3.4624891052362203,-147.87954421764238,120,3459.070796460177,4117.006621255447,3.7697752869435672,3142.813019314937,3867.3528747670716,3.4624891052362203,True,False
1#铜,26,Hybrid_variable_anchor,2174.543248252125,2734.2547460553606,2.4076283030205015,718.3400681261081,120,3459.070796460177,4117.006621255447,3.7697752869435672,3142.813019314937,3867.3528747670716,3.4624891052362203,True,True
1#铜,26,Naive_last,3459.070796460177,4117.006621255447,3.7697752869435672,-1451.106194690266,120,3459.070796460177,4117.006621255447,3.7697752869435672,3142.813019314937,3867.3528747670716,3.4624891052362203,False,False
1#铜,26,Selected_adaptive_anchor,2174.543248252125,2734.2547460553606,2.4076283030205015,718.3400681261081,120,3459.070796460177,4117.006621255447,3.7697752869435672,3142.813019314937,3867.3528747670716,3.4624891052362203,True,True
1#铜,27,Final_ensemble,3139.979048839474,3910.346886284888,3.4520890437106924,-197.6466789599097,120,3503.244837758112,4210.863826031473,3.8083742072857723,3139.979048839474,3910.346886284888,3.4520890437106924,True,False
1#铜,27,Hybrid_variable_anchor,2175.7996155940646,2734.5879245289793,2.4034704179087747,726.9546910063119,120,3503.244837758112,4210.863826031473,3.8083742072857723,3139.979048839474,3910.346886284888,3.4520890437106924,True,True
1#铜,27,Naive_last,3503.244837758112,4210.863826031473,3.8083742072857723,-1575.0737463126852,120,3503.244837758112,4210.863826031473,3.8083742072857723,3139.979048839474,3910.346886284888,3.4520890437106924,False,False
1#铜,27,Selected_adaptive_anchor,2175.7996155940646,2734.5879245289793,2.4034704179087747,726.9546910063119,120,3503.244837758112,4210.863826031473,3.8083742072857723,3139.979048839474,3910.346886284888,3.4520890437106924,True,True
1#铜,28,Final_ensemble,3173.0498623778685,3779.1877090209987,3.4747278397667523,-296.5740487895702,120,3539.380530973451,4261.039126071886,3.8385882107594402,3173.0498623778685,3779.1877090209987,3.4747278397667523,True,False
1#铜,28,Hybrid_variable_anchor,1975.0962479796062,2549.992926254221,2.179293981831025,691.8271937851481,120,3539.380530973451,4261.039126071886,3.8385882107594402,3173.0498623778685,3779.1877090209987,3.4747278397667523,True,True
1#铜,28,Naive_last,3539.380530973451,4261.039126071886,3.8385882107594402,-1674.7787610619475,120,3539.380530973451,4261.039126071886,3.8385882107594402,3173.0498623778685,3779.1877090209987,3.4747278397667523,False,False
