品种,模型版本,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
ADC12,候选全变量模型v2,ADC12_价格月环比,SHFE铝仓单库存_环比,0.0039779033560332,0.0039779033560332,0.9461064457229388,不显著,正向,15
ZLD104,候选全变量模型v2,ZLD104_价格月环比,A00铝_价格月环比,0.7050118836084193,0.7050118836084193,2.5626343256647037e-56,***,正向,1
ZLD104,候选全变量模型v2,ZLD104_价格月环比,PPI当月同比增长,-0.231819238920159,0.231819238920159,4.319003638997619e-07,***,负向,2
ZLD104,候选全变量模型v2,ZLD104_价格月环比,发电量当期值_环比,-0.2251005762571081,0.2251005762571081,4.998748268960517e-09,***,负向,3
ZLD104,候选全变量模型v2,ZLD104_价格月环比,COVID供应链冲击,0.1810047157368697,0.1810047157368697,3.799959193083498e-07,***,正向,4
ZLD104,候选全变量模型v2,ZLD104_价格月环比,中国经济政策不确定性指数_变化,0.1226397347993141,0.1226397347993141,2.961957119630109e-06,***,正向,5
ZLD104,候选全变量模型v2,ZLD104_价格月环比,SHFE铝仓单库存_环比,0.0904525147843517,0.0904525147843517,0.0200869454393425,**,正向,6
ZLD104,候选全变量模型v2,ZLD104_价格月环比,制造业PMI_变化,0.0685671204214292,0.0685671204214292,0.0482821490744959,**,正向,7
ZLD104,候选全变量模型v2,ZLD104_价格月环比,企业商品价格煤油电环比增长,0.0339440708983955,0.0339440708983955,0.3219704765859901,不显著,正向,8
ZLD104,候选全变量模型v2,ZLD104_价格月环比,非制造业PMI_变化,-0.03391106498329,0.03391106498329,0.5585752281804344,不显著,负向,9
ZLD104,候选全变量模型v2,ZLD104_价格月环比,限电政策冲击,0.0325188240660579,0.0325188240660579,0.2347019491725178,不显著,正向,10
ZLD104,候选全变量模型v2,ZLD104_价格月环比,ZLD104_A00价差_滞后1期变化,-0.0311385142474801,0.0311385142474801,0.4021338118441321,不显著,负向,11
ZLD104,候选全变量模型v2,ZLD104_价格月环比,工业增加值同比增长,0.0237854733599085,0.0237854733599085,0.5882889374352855,不显著,正向,12
ZLD104,候选全变量模型v2,ZLD104_价格月环比,房地产开发景气指数环比,0.0227674610970619,0.0227674610970619,0.3553934896836338,不显著,正向,13
ZLD104,候选全变量模型v2,ZLD104_价格月环比,发电机组产量当期值_环比,-0.0134046556616544,0.0134046556616544,0.6905130023723632,不显著,负向,14
