series,horizon,model,MAE,RMSE,MAPE_%,Bias,n_obs,naive_MAE,naive_RMSE,naive_MAPE_%,beats_naive
1#铜,8,ARIMA_log,2404.0092234483805,3181.711925049423,2.669667951835229,-130.45253208909187,120,1804.5722713864316,2371.0101744606745,2.001102400921775,False
1#铜,8,Rolling_log_drift_5d,3086.6601401562707,4063.172532662106,3.408473545429959,-99.64509189126257,120,1804.5722713864316,2371.0101744606745,2.001102400921775,False
1#铜,9,Final_ensemble,1930.899705014751,2491.7902372955255,2.1420071763237525,-418.9528023598819,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,Naive_last,1930.899705014751,2491.7902372955255,2.1420071763237525,-418.9528023598819,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,Ridge_direct_h,1998.6763960058538,2585.212570243301,2.2162765482505997,-419.4351024840141,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,Median_ensemble,2023.241642393207,2590.065067294341,2.2472651652423283,-15.769109029371732,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,Rolling_log_drift_120d,2232.7753153705335,2801.4065018841816,2.485274489379825,620.9552298261784,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,Rolling_log_drift_60d,2277.885597179232,2956.9034567938056,2.538622204079127,307.1643403255496,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,ARIMA_log,2441.3789679794,3220.8802942857833,2.7081879869824284,-143.24773178999615,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,Rolling_log_drift_20d,2471.917169345616,3116.190231105136,2.7469991633070565,-187.4437856956104,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,9,Rolling_log_drift_5d,3366.3884682153825,4439.824530106067,3.7187042149658756,-101.43753362316444,120,1930.899705014751,2491.7902372955255,2.1420071763237525,False
1#铜,10,Final_ensemble,2092.4041297935114,2646.805236932316,2.3165439709163,-489.15929203539804,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,Naive_last,2092.4041297935114,2646.805236932316,2.3165439709163,-489.15929203539804,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,Ridge_direct_h,2152.166436959262,2721.1040907308616,2.382958580018751,-409.26309132266687,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,Median_ensemble,2182.413181396217,2745.5363893431927,2.4214851766386603,-26.90055862276228,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,Rolling_log_drift_120d,2422.3592712090535,2992.0086064848183,2.6954182118732564,667.2123697639576,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,ARIMA_log,2496.0070679598707,3274.783340770376,2.7642257984435004,-182.21212262298067,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,Rolling_log_drift_60d,2502.1874280168336,3167.268494660451,2.7857970296305,318.3932726839825,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,Rolling_log_drift_20d,2586.2979249865293,3351.2145250156864,2.8705131139704037,-230.1114327270055,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,10,Rolling_log_drift_5d,3691.8570157568397,4862.984901749234,4.076772608064951,-127.67244905780171,120,2092.4041297935114,2646.805236932316,2.3165439709163,False
1#铜,11,Final_ensemble,2264.0855457227144,2780.557519180642,2.5061608996071905,-535.3244837758109,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,Naive_last,2264.0855457227144,2780.557519180642,2.5061608996071905,-535.3244837758109,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,Ridge_direct_h,2324.676839033563,2841.774734555723,2.574714218582191,-378.32471924706346,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,Median_ensemble,2352.518158444267,2864.1155470440376,2.6100534398113204,-11.234766621625022,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,ARIMA_log,2535.332291004081,3321.884086500379,2.8047252688799174,-197.12446194230068,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,Rolling_log_drift_120d,2591.3071083742243,3169.6884479042847,2.8860003261107647,737.6956213057258,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,Rolling_log_drift_60d,2708.5277979235834,3374.3255508146676,3.0170736231524464,353.81586529525765,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,Rolling_log_drift_20d,2789.797654592238,3587.9065435579328,3.094207969022737,-248.37297588483332,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,11,Rolling_log_drift_5d,3934.2121505104656,5245.14070768241,4.34482950590837,-128.1285857952633,120,2264.0855457227144,2780.557519180642,2.5061608996071905,False
1#铜,12,Final_ensemble,2394.7640117994106,2906.018830080263,2.65075286113858,-572.6401179941004,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,Naive_last,2394.7640117994106,2906.018830080263,2.65075286113858,-572.6401179941004,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,Ridge_direct_h,2438.2237279018577,2947.82196464298,2.702361244051725,-334.6021495358402,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,Median_ensemble,2458.3051140870466,2982.331710865393,2.7289098255360646,17.81126714651958,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,ARIMA_log,2559.661330845853,3341.539771513151,2.830231666645989,-203.17648645196303,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,Rolling_log_drift_120d,2723.4236916439195,3343.798580611215,3.0358083331631662,817.2135607726973,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,Rolling_log_drift_60d,2881.263146000211,3577.7885618827763,3.212550673912088,398.2407114436888,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,Rolling_log_drift_20d,3011.308483875795,3836.6032000462196,3.3362816428445456,-257.4196844996631,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,12,Rolling_log_drift_5d,4221.569350579097,5661.820469385425,4.6571805569366465,-117.99753653663889,120,2394.7640117994106,2906.018830080263,2.65075286113858,False
1#铜,13,Final_ensemble,2488.938053097345,3024.818374093981,2.755315706714199,-613.2743362831859,120,2488.938053097345,3024.818374093981,2.755315706714199,False
1#铜,13,Naive_last,2488.938053097345,3024.818374093981,2.755315706714199,-613.2743362831859,120,2488.938053097345,3024.818374093981,2.755315706714199,False
