date,1#铜_actual,1#铜_pred,A00铝_actual,A00铝_pred,1#白银_actual,1#白银_pred,铝合金ADC12_actual,铝合金ADC12_pred,铸造铝合金锭(ZLD104)_actual,铸造铝合金锭(ZLD104)_pred
2026-06-02,93752.21238938054,86618.74860816842,21530.973451327434,21663.716814159285,15955.752212389381,15416.790243407742,20973.45132743363,21857.596328077507,21769.91150442478,23079.914011289813
2026-06-03,94389.38053097346,86644.4656144125,21646.017699115047,21663.716814159285,15951.32743362832,15410.13212729289,21061.94690265487,21857.569509750796,21858.40707964602,23079.914011289813
2026-06-04,93318.58407079647,86670.19025600616,21424.77876106195,21663.716814159285,15663.716814159294,15403.7016264872,20973.45132743363,21857.546858927748,21681.41592920354,23079.914011289813
2026-06-05,93389.38053097346,86695.92253521612,21433.628318584073,21663.716814159285,15535.398230088496,15397.490870616366,20973.45132743363,21857.52772798497,21681.41592920354,23079.914011289813
2026-06-08,92283.18584070797,86721.66245430986,21238.938053097347,21663.716814159285,14477.876106194692,15391.492267357256,20796.460176991153,21857.5115699396,21504.424778761066,23079.914011289813
2026-06-09,92256.6371681416,86747.41001555594,21150.44247787611,21663.716814159285,14442.477876106195,15385.698492224456,20796.460176991153,21857.4979228096,21504.424778761066,23079.914011289813
2026-06-10,92185.84070796461,86773.16522122319,21044.24778761062,21663.716814159285,13707.964601769912,15380.102478757415,20796.460176991153,21857.486396404496,21415.929203539825,23079.914011289813
2026-06-11,91477.8761061947,86798.92807358103,21212.389380530974,21663.716814159285,13619.469026548673,15374.697409090852,20884.95575221239,21857.476661168817,21504.424778761066,23079.914011289813
2026-06-12,92672.56637168143,86824.69857490009,21362.83185840708,21663.716814159285,14150.442477876108,15369.476704891988,21061.94690265487,21857.468438759504,21681.41592920354,23079.914011289813
2026-06-15,93761.06194690266,86850.47672745101,21353.982300884956,21663.716814159285,14942.477876106195,15364.434018648753,21061.94690265487,21857.46149408744,21681.41592920354,23079.914011289813
2026-06-16,92814.1592920354,86876.26253350575,21061.94690265487,21663.716814159285,14690.265486725664,15359.563225294289,21061.94690265487,21857.455628595842,21415.929203539825,23079.914011289813
2026-06-17,93495.57522123895,86902.05599533649,21123.893805309737,21663.716814159285,14889.380530973453,15354.858414153323,21150.44247787611,21857.450674583193,21504.424778761066,23079.914011289813
2026-06-18,93159.29203539823,86927.85711521604,21123.893805309737,21663.716814159285,14734.513274336285,15350.313881197162,21150.44247787611,21857.44649040838,21504.424778761066,23079.914011289813
2026-06-22,92557.52212389381,86953.6658954184,21123.893805309737,21663.716814159285,13991.150442477878,15345.924121593893,21150.44247787611,21857.44295644094,21504.424778761066,23079.914011289813
2026-06-23,92345.13274336285,86979.48233821757,21061.94690265487,21663.716814159285,13610.61946902655,15341.683822542313,21150.44247787611,21857.439971640633,21415.929203539825,23079.914011289813
2026-06-24,91513.2743362832,87005.30644588888,20769.91150442478,21663.716814159285,13123.893805309735,15337.587856376973,20973.45132743363,21857.437450668593,21150.44247787611,23079.914011289813
2026-06-25,89539.82300884956,87031.1382207079,20221.2389380531,21663.716814159285,12230.088495575223,15333.631273933917,20796.460176991153,21857.43532144738,20707.964601769912,23079.914011289813
2026-06-26,90000.00000000001,87056.97766495083,20247.78761061947,21663.716814159285,12269.91150442478,15329.809298165981,20796.460176991153,21857.433523100193,20707.964601769912,23079.914011289813
2026-06-29,90707.96460176993,87082.824780895,20300.884955752215,21663.716814159285,12530.973451327434,15326.117317997676,20884.95575221239,21857.432004210234,20707.964601769912,23079.914011289813
2026-06-30,90504.42477876107,87108.67957081799,19911.504424778763,21663.716814159285,12323.008849557524,15322.55088241001,20707.964601769912,21857.430721350753,20353.982300884956,23079.914011289813
2026-07-01,90504.42477876107,87134.54203699803,19699.11504424779,21663.716814159285,12469.026548672568,15319.1056947457,20707.964601769912,21857.42963784339,20176.991150442478,23079.914011289813
2026-07-02,90707.96460176993,87160.41218171452,19946.90265486726,21663.716814159285,12893.805309734515,15315.777607226368,20796.460176991153,21857.428722709505,20353.982300884956,23079.914011289813
2026-07-03,91292.0353982301,87186.29000724689,20141.592920353985,21663.716814159285,13415.929203539825,15312.562615672698,20884.95575221239,21857.427949784375,20442.477876106197,23079.914011289813
2026-07-06,91522.12389380531,87212.17551587588,20212.389380530974,21663.716814159285,13477.876106194692,15309.456854420085,20973.45132743363,21857.427296969254,20530.973451327434,23079.914011289813
