series,model,MAE,RMSE,MAPE_%,future_range_%,passes_nonflat_rule
铝合金ADC12,Rolling_log_drift_40d,1814.727034,1983.721522,8.658651,0.000000,False
铸造铝合金锭(ZLD104),"ARIMA_log(2, 1, 2)_trend_n",1378.313148,1498.421640,6.431342,0.115952,True
铸造铝合金锭(ZLD104),"ARIMA_log(1, 1, 0)_trend_t",1399.672422,1522.196653,6.531182,0.179274,True
铸造铝合金锭(ZLD104),"ARIMA_log(0, 1, 1)_trend_t",1405.089415,1527.711544,6.556334,0.176976,True
铸造铝合金锭(ZLD104),"ARIMA_log(2, 1, 0)_trend_t",1413.696491,1535.271196,6.595910,0.190996,True
铸造铝合金锭(ZLD104),"ARIMA_log(1, 1, 1)_trend_t",1419.026337,1542.514872,6.621242,0.183295,True
铸造铝合金锭(ZLD104),"ARIMA_log(0, 1, 0)_trend_t",1419.490747,1540.352516,6.622551,0.187603,True
铸造铝合金锭(ZLD104),Global_log_drift,1420.116305,1541.052873,6.625476,0.184895,True
铸造铝合金锭(ZLD104),"ARIMA_log(2, 1, 2)_trend_t",1422.291213,1547.497284,6.636927,0.150395,True
铸造铝合金锭(ZLD104),"ARIMA_log(0, 1, 2)_trend_t",1435.418824,1559.960968,6.697596,0.125237,True
铸造铝合金锭(ZLD104),"ARIMA_log(2, 1, 1)_trend_t",1442.948062,1567.385548,6.732475,0.165492,True
铸造铝合金锭(ZLD104),"ARIMA_log(1, 1, 2)_trend_t",1444.107384,1568.786873,6.737930,0.132870,True
铸造铝合金锭(ZLD104),Rolling_log_drift_20d,1685.047154,1839.230635,7.864348,5.209806,True
铸造铝合金锭(ZLD104),Rolling_log_drift_252d,2011.583485,2209.984688,9.391508,0.919669,True
铸造铝合金锭(ZLD104),Rolling_log_drift_40d,2117.654964,2330.990712,9.887637,3.466861,True
铸造铝合金锭(ZLD104),Rolling_log_drift_60d,2323.735281,2566.731900,10.851605,4.151748,True
铸造铝合金锭(ZLD104),Rolling_log_drift_120d,2643.113069,2933.506919,12.345710,0.776864,True
铸造铝合金锭(ZLD104),"ARIMA_log(1, 1, 0)_trend_n",1377.149174,1496.968050,6.425860,0.005624,False
铸造铝合金锭(ZLD104),"ARIMA_log(0, 1, 1)_trend_n",1380.061504,1499.680901,6.439301,0.000000,False
铸造铝合金锭(ZLD104),"ARIMA_log(1, 1, 1)_trend_n",1384.647868,1503.936868,6.460463,0.009040,False
铸造铝合金锭(ZLD104),"ARIMA_log(2, 1, 0)_trend_n",1391.072451,1509.952587,6.490122,0.021364,False
铸造铝合金锭(ZLD104),"ARIMA_log(0, 1, 2)_trend_n",1393.094465,1511.786539,6.499438,0.017510,False
铸造铝合金锭(ZLD104),"ARIMA_log(1, 1, 2)_trend_n",1397.275230,1515.749240,6.518753,0.026077,False
铸造铝合金锭(ZLD104),"ARIMA_log(0, 1, 0)_trend_n",1397.492625,1515.737012,6.519690,0.000000,False
铸造铝合金锭(ZLD104),Holt_log_damped_True,1397.492628,1515.737014,6.519690,0.000000,False
铸造铝合金锭(ZLD104),"ARIMA_log(2, 1, 1)_trend_n",1399.311303,1517.805681,6.528198,0.052278,False
铸造铝合金锭(ZLD104),Holt_log_damped_False,2158.267527,2377.384063,10.077601,0.001936,False
